,subject,trial,verb,trial_index,cue_verb_appear,recalled,recall_key_time,cue_verb_disappear,colors_question_appear,colors_answer,colors_answer_time
0,6666,1,לרוץ,0,2026-06-08_19-21-51.373,True,2026-06-08_19-21-52.203,2026-06-08_19-21-52.203,2026-06-08_19-21-52.209,green,2026-06-08_19-21-53.097
1,6666,2,להתקשר,1,2026-06-08_19-21-54.370,True,2026-06-08_19-21-55.447,2026-06-08_19-21-55.447,2026-06-08_19-21-55.454,yellow,2026-06-08_19-21-56.076
