,subject,trial_index,feature,word_question,user_answer,is_right,feature_appear,feature_disappear,question_appear,answer_time
0,999,0,animate,animate,right,True,2026-06-09_11-35-46.116,2026-06-09_11-35-47.631,2026-06-09_11-35-49.627,2026-06-09_11-35-50.272
1,999,1,inanimate,inanimate,right,True,2026-06-09_11-35-53.810,2026-06-09_11-35-55.321,2026-06-09_11-35-56.834,2026-06-09_11-35-58.063
2,999,2,animate,animate,right,True,2026-06-09_11-36-01.141,2026-06-09_11-36-02.660,2026-06-09_11-36-04.334,2026-06-09_11-36-04.959
3,999,3,inanimate,animate,left,True,2026-06-09_11-36-08.997,2026-06-09_11-36-10.517,2026-06-09_11-36-12.317,2026-06-09_11-36-13.432
