,subject,trial_index,feature,word_question,user_answer,is_right,feature_appear,feature_disappear,question_appear,answer_time
0,1111,0,green,red,left,True,2026-03-11_20-13-30.993,2026-03-11_20-13-32.006,2026-03-11_20-13-33.633,2026-03-11_20-13-34.772
1,1111,1,red,yellow,right,False,2026-03-11_20-13-39.869,2026-03-11_20-13-40.882,2026-03-11_20-13-42.201,2026-03-11_20-13-45.351
2,1111,2,yellow,green,left,True,2026-03-11_20-13-52.772,2026-03-11_20-13-53.785,2026-03-11_20-13-55.231,2026-03-11_20-13-56.358
