,event_name,show_red,show_green,show_yellow,show_living_room,show_bathroom,show_kitchen,show_attention_question,answer_attention_question,show_binding_trials,stop_binding_trials,show_difficulty_question,answer_difficulty_question,show_object_in_test_trial,start_retrieval_time,answer_on_retrieval_time,show_retrieval_question,answer_retrieval_question,show_colors_answers,answer_color_question,show_scenes_answers,answer_scene_question,stage,trial_num,fl_trial_index,fl_feature,fl_word_question,fl_user_answer,fl_is_right,fl_feature_appear,bl_block,bl_object,bl_binding_trial,bl_binding_trial_in_block,bl_colors,bl_scenes,bl_difficulty,bl_binding_object_appear,tp_block,tp_object,tp_binding_trial,tp_colors,tp_scenes,tp_difficulty,tp_test_trial,tp_subject_color,tp_subject_scene,tp_color_correct,tp_scene_correct,tp_both_correct,tp_color_rt_ms,tp_scene_rt_ms,tp_first_question,tp_test_object_appear
30,show_yellow,,,0.0,,,,,,,,,,,,,,,,,,,fl,10,10,yellow,yellow,right,True,2026-04-12_13-06-58.254,,,,,,,,,,,,,,,,,,,,,,,,
31,show_attention_question,,,,,,,0.0,,,,,,,,,,,,,,,fl,10,10,yellow,yellow,right,True,2026-04-12_13-06-58.254,,,,,,,,,,,,,,,,,,,,,,,,
32,answer_attention_question,,,,,,,,0.0,,,,,,,,,,,,,,fl,10,10,yellow,yellow,right,True,2026-04-12_13-06-58.254,,,,,,,,,,,,,,,,,,,,,,,,
33,show_green,,0.0,,,,,,,,,,,,,,,,,,,,fl,11,11,green,yellow,left,True,2026-04-12_13-07-06.616,,,,,,,,,,,,,,,,,,,,,,,,
34,show_attention_question,,,,,,,0.0,,,,,,,,,,,,,,,fl,11,11,green,yellow,left,True,2026-04-12_13-07-06.616,,,,,,,,,,,,,,,,,,,,,,,,
35,answer_attention_question,,,,,,,,0.0,,,,,,,,,,,,,,fl,11,11,green,yellow,left,True,2026-04-12_13-07-06.616,,,,,,,,,,,,,,,,,,,,,,,,
36,show_bathroom,,,,,0.0,,,,,,,,,,,,,,,,,fl,12,12,bathroom,bathroom,right,True,2026-04-12_13-07-15.443,,,,,,,,,,,,,,,,,,,,,,,,
37,show_attention_question,,,,,,,0.0,,,,,,,,,,,,,,,fl,12,12,bathroom,bathroom,right,True,2026-04-12_13-07-15.443,,,,,,,,,,,,,,,,,,,,,,,,
38,answer_attention_question,,,,,,,,0.0,,,,,,,,,,,,,,fl,12,12,bathroom,bathroom,right,True,2026-04-12_13-07-15.443,,,,,,,,,,,,,,,,,,,,,,,,
39,show_yellow,,,0.0,,,,,,,,,,,,,,,,,,,fl,13,13,yellow,green,left,True,2026-04-12_13-07-23.454,,,,,,,,,,,,,,,,,,,,,,,,
40,show_attention_question,,,,,,,0.0,,,,,,,,,,,,,,,fl,13,13,yellow,green,left,True,2026-04-12_13-07-23.454,,,,,,,,,,,,,,,,,,,,,,,,
41,answer_attention_question,,,,,,,,0.0,,,,,,,,,,,,,,fl,13,13,yellow,green,left,True,2026-04-12_13-07-23.454,,,,,,,,,,,,,,,,,,,,,,,,
42,show_yellow,,,0.0,,,,,,,,,,,,,,,,,,,fl,14,14,yellow,green,left,True,2026-04-12_13-07-32.258,,,,,,,,,,,,,,,,,,,,,,,,
43,show_attention_question,,,,,,,0.0,,,,,,,,,,,,,,,fl,14,14,yellow,green,left,True,2026-04-12_13-07-32.258,,,,,,,,,,,,,,,,,,,,,,,,
44,answer_attention_question,,,,,,,,0.0,,,,,,,,,,,,,,fl,14,14,yellow,green,left,True,2026-04-12_13-07-32.258,,,,,,,,,,,,,,,,,,,,,,,,
