,subject,trial,object,colors,scenes,retrival_success,retrival_report,object_appear,object_disappear,retrival_time,retrival_report_time,colors_question_appear,colors_answer_time,scenes_question_appear,scenes_answer_time
0,109,trial_1,iphone,,,False,[],2026-03-20_12-51-21.696,2026-03-20_12-51-24.213,2026-03-20_12-51-27.226,2026-03-20_12-51-32.923,,,,
1,109,trial_2,dustpan,red,kitchen,True,"['colors', 'scenes']",2026-03-20_12-51-33.442,2026-03-20_12-51-35.963,2026-03-20_12-51-37.265,2026-03-20_12-51-39.028,2026-03-20_12-51-39.534,2026-03-20_12-51-40.333,2026-03-20_12-51-42.349,2026-03-20_12-51-43.244
