,subject,trial,object,colors,scenes,object_appear,feature_disappear
0,333,1,sweeper,yellow,bathroom,2026-05-04_22-32-37.742,2026-05-04_22-32-40.755
1,333,2,apple,red,kitchen,2026-05-04_22-32-44.781,2026-05-04_22-32-47.795
