,subject,trial,object,colors,scenes,object_appear,feature_disappear
0,333,1,cat,yellow,living_room,2026-05-04_22-15-28.089,2026-05-04_22-15-31.102
1,333,2,paper,green,bathroom,2026-05-04_22-15-34.859,2026-05-04_22-15-37.872
2,333,3,shirt,green,kitchen,2026-05-04_22-15-42.069,2026-05-04_22-15-45.083
3,333,4,glasses,yellow,living_room,2026-05-04_22-15-49.363,2026-05-04_22-15-52.376
