,subject,trial,object,colors,scenes,object_appear,feature_disappear
0,333,1,towel,yellow,kitchen,2026-05-04_22-22-23.578,2026-05-04_22-22-26.591
1,333,2,man,red,living_room,2026-05-04_22-22-30.634,2026-05-04_22-22-33.647
