,subject,trial,object,colors,scenes,object_appear,feature_disappear
0,333,1,flower pot,red,bathroom,2026-05-04_22-19-44.437,2026-05-04_22-19-47.454
1,333,2,bucket,yellow,living_room,2026-05-04_22-19-51.417,2026-05-04_22-19-54.432
2,333,3,air conditioner,yellow,living_room,2026-05-04_22-19-58.294,2026-05-04_22-20-01.309
3,333,4,shirt,green,kitchen,2026-05-04_22-20-05.180,2026-05-04_22-20-08.194
