,subject,trial,object,colors,scenes,object_appear,feature_disappear
0,333,1,sweeper,yellow,bathroom,2026-05-04_22-32-37.742,2026-05-04_22-32-40.755
1,333,2,apple,red,kitchen,2026-05-04_22-32-44.781,2026-05-04_22-32-47.795
2,333,3,candle,red,living_room,2026-05-04_22-32-52.174,2026-05-04_22-32-55.187
3,333,4,clock,yellow,bathroom,2026-05-04_22-32-58.617,2026-05-04_22-33-01.630
4,333,5,flower pot,green,kitchen,2026-05-04_22-33-05.740,2026-05-04_22-33-08.753
5,333,6,coat,red,bathroom,2026-05-04_22-33-12.372,2026-05-04_22-33-15.391
6,333,7,bucket,green,kitchen,2026-05-04_22-33-19.513,2026-05-04_22-33-22.526
7,333,8,build a bear,yellow,living_room,2026-05-04_22-33-26.328,2026-05-04_22-33-29.341
8,333,9,bulb,green,living_room,2026-05-04_22-33-33.190,2026-05-04_22-33-36.204
9,333,10,dustpan,yellow,kitchen,2026-05-04_22-33-40.788,2026-05-04_22-33-43.801
