,subject,trial,object,colors,scenes,object_appear,feature_disappear,difficulty_question_appear,difficulty_answer_time
0,103,1,closet,red,living_room,2026-04-05_13-19-10.788,2026-04-05_13-19-13.813,2026-04-05_13-19-15.436,2026-04-05_13-19-19.411
1,103,2,candle,green,bathroom,2026-04-05_13-19-23.679,2026-04-05_13-19-26.704,2026-04-05_13-19-27.768,2026-04-05_13-19-30.499
2,103,3,towel,green,kitchen,2026-04-05_13-19-35.186,2026-04-05_13-19-38.203,2026-04-05_13-19-39.286,2026-04-05_13-19-40.636
3,103,4,sock,yellow,kitchen,2026-04-05_13-19-45.443,2026-04-05_13-19-48.461,2026-04-05_13-19-49.753,2026-04-05_13-19-52.475
4,103,5,laptop,yellow,bathroom,2026-04-05_13-19-55.859,2026-04-05_13-19-58.879,2026-04-05_13-19-59.935,2026-04-05_13-20-01.643
5,103,6,trash can,red,kitchen,2026-04-05_13-20-06.108,2026-04-05_13-20-09.130,2026-04-05_13-20-10.278,2026-04-05_13-20-14.739
6,103,7,shirt,red,living_room,2026-04-05_13-20-19.911,2026-04-05_13-20-22.928,2026-04-05_13-20-23.986,2026-04-05_13-20-26.835
7,103,8,clock,green,living_room,2026-04-05_13-20-31.553,2026-04-05_13-20-34.579,2026-04-05_13-20-36.611,2026-04-05_13-20-39.115
8,103,9,shoe,yellow,bathroom,2026-04-05_13-20-42.607,2026-04-05_13-20-45.629,2026-04-05_13-20-47.111,2026-04-05_13-20-49.819
9,103,10,brush,green,living_room,2026-04-05_13-24-03.052,2026-04-05_13-24-06.071,2026-04-05_13-24-07.395,2026-04-05_13-24-10.939
10,103,11,woman,red,kitchen,2026-04-05_13-24-15.747,2026-04-05_13-24-18.770,2026-04-05_13-24-20.295,2026-04-05_13-24-21.443
11,103,12,sprey,green,bathroom,2026-04-05_13-24-26.286,2026-04-05_13-24-29.305,2026-04-05_13-24-31.319,2026-04-05_13-24-34.171
12,103,13,mog,red,kitchen,2026-04-05_13-24-38.541,2026-04-05_13-24-41.562,2026-04-05_13-24-43.111,2026-04-05_13-24-45.043
