,subject,trial,object,colors,scenes,object_appear,object_disappear,scenes_question_appear,scenes_answer_time,colors_question_appear,colors_answer_time
13,101,trial_14,cat,red,bathroom,2026-03-14_18-56-39.695,2026-03-14_18-56-42.708,2026-03-14_18-56-48.837,2026-03-14_18-56-49.846,2026-03-14_18-56-45.725,2026-03-14_18-56-46.821
14,101,trial_15,flower pot,yellow,living_room,2026-03-14_18-56-51.873,2026-03-14_18-56-54.886,2026-03-14_18-56-57.903,2026-03-14_18-56-59.195,2026-03-14_18-57-01.212,2026-03-14_18-57-02.040
15,101,trial_16,sweeper,green,kitchen,2026-03-14_18-57-04.065,2026-03-14_18-57-07.079,2026-03-14_18-57-10.095,2026-03-14_18-57-11.287,2026-03-14_18-57-13.302,2026-03-14_18-57-14.169
16,101,trial_17,key,green,kitchen,2026-03-14_18-57-16.196,2026-03-14_18-57-19.211,2026-03-14_18-57-22.228,2026-03-14_18-57-23.404,2026-03-14_18-57-25.420,2026-03-14_18-57-26.737
17,101,trial_18,game,red,living_room,2026-03-14_18-57-28.759,2026-03-14_18-57-31.772,2026-03-14_18-57-34.789,2026-03-14_18-57-36.170,2026-03-14_18-57-38.187,2026-03-14_18-57-39.828
18,101,trial_19,coat,green,living_room,2026-03-14_19-01-04.958,2026-03-14_19-01-07.970,2026-03-14_19-01-10.989,2026-03-14_19-01-11.915,2026-03-14_19-01-13.931,2026-03-14_19-01-15.434
19,101,trial_20,build a bear,red,kitchen,2026-03-14_19-01-17.461,2026-03-14_19-01-20.474,2026-03-14_19-01-26.130,2026-03-14_19-01-26.932,2026-03-14_19-01-23.490,2026-03-14_19-01-24.115
20,101,trial_21,trash can,green,kitchen,2026-03-14_19-01-28.958,2026-03-14_19-01-31.971,2026-03-14_19-01-34.989,2026-03-14_19-01-36.061,2026-03-14_19-01-38.076,2026-03-14_19-01-38.759
21,101,trial_22,woman,yellow,kitchen,2026-03-14_19-01-40.785,2026-03-14_19-01-43.799,2026-03-14_19-01-46.815,2026-03-14_19-01-47.706,2026-03-14_19-01-49.721,2026-03-14_19-01-50.700
22,101,trial_23,baby,red,bathroom,2026-03-14_19-01-52.726,2026-03-14_19-01-55.740,2026-03-14_19-01-58.756,2026-03-14_19-02-00.286,2026-03-14_19-02-02.302,2026-03-14_19-02-03.282
23,101,trial_24,apple,yellow,living_room,2026-03-14_19-02-05.308,2026-03-14_19-02-08.321,2026-03-14_19-02-14.710,2026-03-14_19-02-15.944,2026-03-14_19-02-11.338,2026-03-14_19-02-12.693
24,101,trial_25,dog,green,kitchen,2026-03-14_19-02-17.976,2026-03-14_19-02-20.989,2026-03-14_19-02-24.005,2026-03-14_19-02-26.076,2026-03-14_19-02-28.093,2026-03-14_19-02-28.666
25,101,trial_26,iphone,green,bathroom,2026-03-14_19-02-30.691,2026-03-14_19-02-33.704,2026-03-14_19-02-36.721,2026-03-14_19-02-38.264,2026-03-14_19-02-40.281,2026-03-14_19-02-41.608
26,101,trial_27,candle,red,living_room,2026-03-14_19-02-43.636,2026-03-14_19-02-46.650,2026-03-14_19-02-49.667,2026-03-14_19-02-50.444,2026-03-14_19-02-52.459,2026-03-14_19-02-53.145
27,101,trial_28,wipes,yellow,kitchen,2026-03-14_19-06-16.299,2026-03-14_19-06-19.311,2026-03-14_19-06-25.076,2026-03-14_19-06-26.233,2026-03-14_19-06-22.329,2026-03-14_19-06-23.060
28,101,trial_29,sprey,red,living_room,2026-03-14_19-06-28.259,2026-03-14_19-06-31.273,2026-03-14_19-06-37.267,2026-03-14_19-06-37.965,2026-03-14_19-06-34.289,2026-03-14_19-06-35.252
29,101,trial_30,ladder,yellow,kitchen,2026-03-14_19-06-39.994,2026-03-14_19-06-43.007,2026-03-14_19-06-48.903,2026-03-14_19-06-49.607,2026-03-14_19-06-46.024,2026-03-14_19-06-46.888
30,101,trial_31,towel,green,bathroom,2026-03-14_19-06-51.633,2026-03-14_19-06-54.646,2026-03-14_19-06-57.663,2026-03-14_19-06-59.066,2026-03-14_19-07-01.082,2026-03-14_19-07-01.612
31,101,trial_32,closet,red,living_room,2026-03-14_19-07-03.638,2026-03-14_19-07-06.651,2026-03-14_19-07-09.668,2026-03-14_19-07-10.885,2026-03-14_19-07-12.900,2026-03-14_19-07-13.559
32,101,trial_33,headphones,green,living_room,2026-03-14_19-07-15.584,2026-03-14_19-07-18.597,2026-03-14_19-07-24.373,2026-03-14_19-07-25.016,2026-03-14_19-07-21.615,2026-03-14_19-07-22.358
