,subject,trial,object,colors,scenes,object_appear,feature_disappear,difficulty_question_appear,difficulty_answer_time
0,101,1,bulb,red,living_room,2026-03-14_18-47-35.646,2026-03-14_18-47-38.659,2026-03-14_18-47-39.999,2026-03-14_18-47-41.635
1,101,2,brush,yellow,living_room,2026-03-14_18-47-45.895,2026-03-14_18-47-48.908,2026-03-14_18-47-49.992,2026-03-14_18-47-51.281
2,101,3,paper,green,bathroom,2026-03-14_18-47-55.274,2026-03-14_18-47-58.287,2026-03-14_18-47-59.785,2026-03-14_18-48-00.767
3,101,4,man,green,bathroom,2026-03-14_18-48-04.830,2026-03-14_18-48-07.843,2026-03-14_18-48-09.159,2026-03-14_18-48-10.615
4,101,5,sock,yellow,kitchen,2026-03-14_18-48-14.989,2026-03-14_18-48-18.002,2026-03-14_18-48-19.737,2026-03-14_18-48-21.130
