,subject,trial,object,colors,scenes,object_appear,object_disappear,colors_question_appear,colors_answer_time,scenes_question_appear,scenes_answer_time
0,101,trial_1,flower pot,green,living_room,2026-03-14_18-33-19.936,2026-03-14_18-33-22.949,2026-03-14_18-33-25.969,2026-03-14_18-33-27.627,2026-03-14_18-33-29.645,2026-03-14_18-33-30.456
1,101,trial_2,trash can,green,kitchen,2026-03-14_18-33-32.483,2026-03-14_18-33-35.497,2026-03-14_18-33-38.514,2026-03-14_18-33-43.073,2026-03-14_18-33-45.089,2026-03-14_18-33-47.106
2,101,trial_3,shoe,yellow,bathroom,2026-03-14_18-33-49.129,2026-03-14_18-33-52.142,2026-03-14_18-34-02.058,2026-03-14_18-34-03.490,2026-03-14_18-33-55.159,2026-03-14_18-34-00.041
3,101,trial_4,apple,red,bathroom,2026-03-14_18-34-05.517,2026-03-14_18-34-08.530,2026-03-14_18-34-11.547,2026-03-14_18-34-13.329,2026-03-14_18-34-15.345,2026-03-14_18-34-16.588
4,101,trial_5,game,red,living_room,2026-03-14_18-34-18.608,2026-03-14_18-34-21.622,2026-03-14_18-34-24.639,2026-03-14_18-34-25.338,2026-03-14_18-34-27.354,2026-03-14_18-34-28.337
5,101,trial_6,air_conditioner,yellow,bathroom,2026-03-14_18-34-30.363,2026-03-14_18-34-33.376,2026-03-14_18-34-36.393,2026-03-14_18-34-37.388,2026-03-14_18-34-39.403,2026-03-14_18-34-40.849
6,101,trial_7,chair,green,kitchen,2026-03-14_18-34-42.877,2026-03-14_18-34-45.891,2026-03-14_18-34-51.831,2026-03-14_18-34-52.708,2026-03-14_18-34-48.908,2026-03-14_18-34-49.815
