,subject,trial,verb,trial_index,cue_verb_appear,recalled,recall_key_time,cue_verb_disappear,colors_question_appear,colors_answer,colors_answer_time
0,333,1,לשתות,0,2026-06-13_13-31-55.441,True,2026-06-13_13-32-00.036,2026-06-13_13-32-02.036,2026-06-13_13-32-02.045,green,2026-06-13_13-32-02.951
1,333,2,לרוץ,1,2026-06-13_13-32-04.097,True,2026-06-13_13-32-06.336,2026-06-13_13-32-08.336,2026-06-13_13-32-08.345,red,2026-06-13_13-32-08.786
