,subject,trial,verb,trial_index,cue_verb_appear,recalled,recall_key_time,cue_verb_disappear,colors_question_appear,colors_answer,colors_answer_time
0,333,1,לשתות,0,2026-06-13_13-31-55.441,True,2026-06-13_13-32-00.036,2026-06-13_13-32-02.036,2026-06-13_13-32-02.045,green,2026-06-13_13-32-02.951
1,333,2,לרוץ,1,2026-06-13_13-32-04.097,True,2026-06-13_13-32-06.336,2026-06-13_13-32-08.336,2026-06-13_13-32-08.345,red,2026-06-13_13-32-08.786
2,333,3,להתקשר,2,2026-06-13_13-32-09.982,True,2026-06-13_13-32-13.263,2026-06-13_13-32-15.263,2026-06-13_13-32-15.271,yellow,2026-06-13_13-32-15.641
3,333,4,לכתוב,3,2026-06-13_13-32-16.170,False,2026-06-13_13-32-23.170,2026-06-13_13-32-23.170,2026-06-13_13-32-23.179,red,2026-06-13_13-32-24.236
4,333,5,לאכול,4,2026-06-13_13-32-25.697,True,2026-06-13_13-32-32.558,2026-06-13_13-32-34.558,2026-06-13_13-32-34.567,green,2026-06-13_13-32-34.940
