,subject,trial_index,feature,word_question,user_answer,is_right,image_name,feature_appear,feature_disappear,question_appear,answer_time
0,333,0,green,green,right,True,green_image,2026-06-12_19-16-40.772,2026-06-12_19-16-42.274,2026-06-12_19-16-44.258,2026-06-12_19-16-44.772
1,333,1,red,red,right,True,red_image,2026-06-12_19-16-47.419,2026-06-12_19-16-48.922,2026-06-12_19-16-50.499,2026-06-12_19-16-50.998
